article_url,comment_text,comment_date
https://www.thejournal.ie/list-of-problems-that-could-affect-ireland-for-brexit-negotiations-4840629-Oct2019/,Is it 60% of Irelands medicines come from the UK or is it 60% of medicines imported by Ireland come from there. Pretty sure we make a lot here and those coming from the UK could easily be sourced from the rest of Europe without having to worry about the problems the UK will face.,"Oct 7th 2019, 3:32 PM"
https://www.thejournal.ie/list-of-problems-that-could-affect-ireland-for-brexit-negotiations-4840629-Oct2019/,@Darren Byrne: well we make the important stuff here … VIAGRA !,"Oct 7th 2019, 3:35 PM"
https://www.thejournal.ie/list-of-problems-that-could-affect-ireland-for-brexit-negotiations-4840629-Oct2019/,@Darren Byrne: I think you are right. The medicines are distributed from the UK because the UK and Ireland are seen as one English speaking zone for EU manufacturers. That will have to change.,"Oct 7th 2019, 7:22 PM"
https://www.thejournal.ie/list-of-problems-that-could-affect-ireland-for-brexit-negotiations-4840629-Oct2019/,"Stick your sweentners up your h0le. We get enough from EU. And wil continue to do so. Scotland will leave UK, so will northern Ireland in time, leaving the Great British Empire crumbling.","Oct 7th 2019, 3:32 PM"
https://www.thejournal.ie/list-of-problems-that-could-affect-ireland-for-brexit-negotiations-4840629-Oct2019/,@Peter O Donnell: The concept that they think offering to pay for some of the border posts we don’t want to being with is a sweetner is such a cognitive disconnect that I am amazed. They have no understanding of or caring about peace on our Island at all. Are they going to just pay for the basic check points or for the bomb proofing of them as well?,"Oct 7th 2019, 3:43 PM"
https://www.thejournal.ie/list-of-problems-that-could-affect-ireland-for-brexit-negotiations-4840629-Oct2019/,@Peter O Donnell: we are net contributors to EU…we pay in more than we get out…,"Oct 7th 2019, 3:45 PM"
https://www.thejournal.ie/list-of-problems-that-could-affect-ireland-for-brexit-negotiations-4840629-Oct2019/,"Britain: give us what we want or we’ll wreck your economy and endanger the health of your people but, in return, we’ll help you pay for some sheds to check trucks","Oct 7th 2019, 3:40 PM"
https://www.thejournal.ie/list-of-problems-that-could-affect-ireland-for-brexit-negotiations-4840629-Oct2019/,@De20: To be fair they have mellowed with time. 100 years ago it was ” give us what we want AND we’ll wreck your economy and endanger the health of your people”,"Oct 7th 2019, 3:53 PM"
https://www.thejournal.ie/list-of-problems-that-could-affect-ireland-for-brexit-negotiations-4840629-Oct2019/,HOW DARE THEY,"Oct 7th 2019, 3:35 PM"
https://www.thejournal.ie/list-of-problems-that-could-affect-ireland-for-brexit-negotiations-4840629-Oct2019/,"@Marianne: you don’t think the EU is playing the same game.
Wake up!","Oct 7th 2019, 4:10 PM"
